gardiner_code,gardiner_source,unicode_cp,unicode,unikemet_code,jsesh_code,category,description,function,core
E156,kEH_HG,13B18,U+13B18,HJ E156,E156,E-22-008,"A lion, lying down, with the face of a man, with a long, curved beard and coif, with the sun, with a cobra (Naja haje), standing up, with expanded hood (uraeus) at either side (N6B), on its head.","Logogram (king of Upper Egypt and Lower Egypt, lord)",C
E157,kEH_HG,13B1B,U+13B1B,HJ E157,E157,E-22-013," A lion, lying down, with the face of a man, with a long, curved beard and coif, with an uraeus on its forehead (E151), with a tie or strap, used with sandals (ankh sign, S34) on its front paw.",Logogram (living image),C
E157A,kEH_HG,13B1A,U+13B1A,HJ E157A,E157A,E-22-012," A lion, lying down, with the face of a man, with a long, curved beard and coif (E151A), with a tie or strap, used with sandals (ankh sign, S34) on its front paw.",Logogram (living image),C
E158,kEH_HG,13B1D,U+13B1D,HJ E158,E158,E-22-016," A lion, lying down, with the face of a man, with a long, curved beard and coif, with an uraeus on its forehead (E151), with a two-barbed harpoon, with a handle on the shaft (T21A), vertically on its front paw, handle outwards.",Logogram (the sole/unique lord),C
E159,kEH_HG,13B1F,U+13B1F,HJ E159,E159,E-22-019,,,
E159B,kEH_HG,13B22,U+13B22,HJ E159B,E159B,E-22-029," A lion, lying down, with the face of a man, with a long, curved beard and coif, with an uraeus on its forehead, on top of a base, front paw holding a sealed ointment jar, without ties (W2) in its front paw, with the jar resting on the base.",Logogram (presenting myrrh),C
E15A,kEH_HG,13A87,U+13A87,HJ E015A,E15A,E-07-005,"A jackal, lying down, tail downwards, on top of a platform.",Logogram ((secret) image (of a god)),C
E15B,kEH_HG,13A8A,U+13A8A,HJ E015B,E15B,E-07-009,"A jackal, lying down, tail downwards, with a flagellum (S45) on its back.",Logogram ((secret) image (of a god)),C
E15C,kEH_HG,13A88,U+13A88,HJ E015C,E15C,E-07-007,"A jackal, lying down, tail downwards, with a flagellum (S45) on its back, on top of a platform.",Logogram (to make secret),C
E16,kEH_HG,130E3,U+130E3,E016,E16,E-07-017,"A jackal, lying down, tail downwards, on top of a shrine.",Logogram (privy to the secrets),C
E162,kEH_HG,13B24,U+13B24,HJ E162,E162,E-22-032,,,
E164,kEH_HG,13B29,U+13B29,HJ E164,E164,E-23-003,,,
E165,kEH_HG,13B3C,U+13B3C,HJ E165,E165,E-23-036,"A bull, standing, head lowered, tail down, left front leg bent, with a line running from the left front leg hoof over the head of the bull.",Classifier prepare to attack,C
E167,kEH_HG,13B2D,U+13B2D,HJ E167,E167,E-23-013,"Two bovids (oxen), standing, overlapping each other, in front of a plough (U13).",Logogram (yoke of oxen),C
E169,kEH_HG,13B2E,U+13B2E,HJ E169,E169,E-23-016,"A bovid (bull), standing, with the red crown (S3) between the horns.",Phonemogram,C
E16A,kEH_HG,13A8E,U+13A8E,E016D,E16A,E-07-018,"A jackal, lying down, tail downwards, on top of a vessel with a small base and a wide rim (W77).",Logogram (Anubis),C
E16AEXTU,kEH_JSesh,130E4,U+130E4,E016A,E16AEXTU,E-07-020,"A jackal, lying down, tail downwards, with a flagellum (S45) on its back, on top of a shrine.",Classifier Anubis,C
E17,kEH_HG,130E5,U+130E5,E017,E17,E-06-004,"A jackal, standing, tail down.",Phonemogram,C
E170,kEH_HG,13B2A,U+13B2A,HJ E170,E170,E-23-004,,,
E171,kEH_HG,13B2F,U+13B2F,HJ E171,E171,E-23-018,"A bovid (bull), standing, with a folded piece of cloth around its neck (V60), with a headdress consisting of a sun disk with two feathers (S76) between its horns.",Classifier bull (specifically in kꜣ-ḥḏ (the (sacred) white bull),C
E173,kEH_HG,13B43,U+13B43,HJ E173,E173,E-23-054,"A bovid (bull), standing (E1), on top of a sledge (U15).",Classifier divinity,C
E174,kEH_HG,13B32,U+13B32,HJ E174,E174,E-23-024,"A bovid (bull), lying down, legs folded beneath the body, tail downwards.","Classifier bovid (steer, ox, cattle, male animal)",C
E174A,kEH_HG,13B36,U+13B36,HJ E174A,E174A,E-23-028,"A bovid (bull), lying down, legs folded beneath the body, tail downwards, with a knife with a triangular blade and straight handle (T30A) vertically on its back, blade forwards.",Logogram (sacrificial steer),C
E174C,kEH_HG,13B3A,U+13B3A,HJ E174C,E174C,E-23-033,,,
E174D,kEH_HG,13B37,U+13B37,HJ E174D,E174D,E-23-029,"A bovid (bull), lying down, legs folded beneath the body, tail downwards, with a knife with a triangular blade and straight handle (T30A) vertically on its back, blade backwards.",Classifier (Seth),C
E174E,kEH_HG,13B33,U+13B33,HJ E174E,E174E,E-23-025,"A bovid (cow), lying down, legs folded beneath the body, right front leg extended forwards.",Logogram (cow),C
E175,kEH_HG,13B38,U+13B38,HJ E175,E175,E-23-030,"A bovid (bull), lying down, legs folded beneath the body, tail upwards, head looking backwards, with a knife with a triangular blade and straight handle (T30A) vertically on its back, blade forwards. ",Logogram (sacrificial steer),C
E176,kEH_HG,13B39,U+13B39,HJ E176,E176,E-23-032,"A bovid (bull), legs bound together, tail downwards.",Classifier (to fall),C
E177,kEH_HG,13B74,U+13B74,HJ E177,E177,F-03-019,"The foreparts of a bovid, connected at the back, standing.",Classifier double doors,C
E178,kEH_HG,13B5A,U+13B5A,HJ E178,E178,E-26-002,"A mythological animal with the head of a crocodile, the foreparts of a lion, and the hindquarters of a hippopotamus.",Classifier Ammet,C
E179,kEH_HG,13A68,U+13A68,HJ E179,E179,E-04-004,"Three rams (Ovis longipes palaeo-aegyptiacus), standing, overlapping each other.",Logogram (rams),C
E18,kEH_HG,130E7,U+130E7,E018,E18,E-06-018,"A jackal, standing, tail down (E17), on top of a standard used for the carrying of religious symbols, with an uraeus at the front of the standard.",Logogram (Wepwawet),C
E181,kEH_HG,13A6A,U+13A6A,HJ E181,E181,E-04-008,"A ram (Ovis longipes palaeo-aegyptiacus), standing, with a beard, with a headdress consisting of two feathers and a sun disk (S76) on top of the horns.",Logogram (he of Edfu),C
E183,kEH_HG,13A6F,U+13A6F,HJ E183,E183,E-04-017,,,
E184,kEH_HG,13A70,U+13A70,HJ E184,E184,E-04-019,"A cult image of a ram (Ovis longipes palaeo-aegyptiacus), lying down, with a beard.",Classifier ram divinity,C
E186,kEH_HG,13AAA,U+13AAA,HJ E186,E186,E-10-001,"A goat, standing.",Classifier cattle,C
E187,kEH_HG,130F6,U+130F6,E031,E187,E-10-007,"A goat, standing, with a seal, attached to a neck string (S20) around its neck.","Logogram (rank, diginity)",C
E19,kEH_JSesh,130E8,U+130E8,E019,E19,E-06-022,"A jackal, standing, tail down (E17), on top of a standard used for the carrying of religious symbols, with an uraeus and šdšd-protuberance at the front of the standard, with a mace (T3) written horizontally over the vertical pole of the standard.",Classifier Wepwawet,C
E191,kEH_HG,13A6B,U+13A6B,HJ E191,E191,E-04-011,"A ram (Ovis longipes palaeo-aegyptiacus), standing, with a beard, with a cobra (Naja haje), standing up, with expanded hood (uraeus, I64) on its horns.",Phonemogram (in bꜣ-n-rꜥ-mr.y-ꞽmn),C
E194,kEH_HG,13AFE,U+13AFE,HJ E194,E194,E-20-042,"A hamadryas baboon (Papio hamadryas), seated, with a cobra (Naja haje), standing up, with expanded hood (uraeus) (I64) on its head.",Logogram (lady of writing),C
E195,kEH_HG,13A7F,U+13A7F,HJ E195,E195,E-06-011,"A jackal, standing, tail down, with a feather (H6) angled backwards on its rear.",Phonemogram/logogram (many-coloured of plumage),C
E196,kEH_HG,13AF5,U+13AF5,HJ E196,E196,E-20-025,"A hamadryas baboon (Papio hamadryas), seated, arms forward, holding a round vessel with an upstanding rim (W24).",Phonemogram,C
E198,kEH_HG,13A5D,U+13A5D,HJ E198,E198,E-03-008,"An oryx, standing, on top of a standard used for the carrying of religious symbols on top of a parcel of land with irrigation ditches.","Logogram (Oryx nome, 16th nome of Upper Egypt)",C
E199A,kEH_HG,13B3D,U+13B3D,HJ E199A,E199A,E-23-038,,,
E1A,kEH_HG,13B57,U+13B57,HJ E001A,E1A,E-25-002,"A bovid (bull), standing, without horns.",Classifier (bull),C
E1C,kEH_HG,13B2B,U+13B2B,HJ E001C,E1C,E-23-007,"A bovid (bull), running.",Classifier Hapy,C
E2,kEH_HG,130D3,U+130D3,E002,E2,E-23-006,"A bovid (bull), standing, with its head lowered as if to attack.",Classifier rage/aggression,C
E20,kEH_HG,130E9,U+130E9,E020,E20,E-02-003,"The animal of Seth, seated, tail up.",Logogram (Seth),C
E200A,kEH_HG,13AC3,U+13AC3,HJ E200A,E200A,E-17-007,"A lion, seated, tail curled over the body towards the back.",Logogram (lion),C
E201,kEH_HG,13B3E,U+13B3E,HJ E201,E201,E-23-040,"A pustule or gland, or a packet of mummy bandages (Aa2), in front of a bovid (bull), standing (E1); on top of a standard used for the carrying of religious symbols (R12).",Logogram (11th nome of Lower Egypt),C
E204,kEH_HG,13A89,U+13A89,HJ E204,E204,E-07-008,"A jackal, lying down, tail downwards, on top of a platform, with a dagger with a rounded tip (T8) angled forwards on its front paw.",Logogram (the primary (secret) image (of a god)),C
E205,kEH_HG,13A5B,U+13A5B,HJ E205,E205,E-03-004,"An oryx, standing (E28), with a falcon (G5) on its back, on top of a standard used for the carrying of religious symbols (R12) on top of a parcel of land with irrigation ditches (N24).","Logogram (Oryx nome, 16th nome of Upper Egypt)",C
E206,kEH_HG,13A97,U+13A97,HJ E206,E206,E-07-034,"A jackal, lying down, tail downwards (E15), on top of the sky (N1).",Logogram (privy to the secrets),C
E207,kEH_HG,13B40,U+13B40,HJ E207,E207,E-23-043,"The hill country over the edge of the cultivated areas (N25) in front of a bovid (bull), standing (E1), on top of a standard used for the carrying of religious symbols (R12) on top of a parcel of land with irrigation ditches (N24).",Logogram (6th nome of Lower Egypt),C
E209,kEH_HG,13B41,U+13B41,HJ E209,E209,E-23-044,"A cover of a quiver, with a vertical loop on top (Aa18A), in front of a bovid (bull), standing (E1), on top of a standard used for the carrying of religious symbols (R12).",Logogram (Cynopolis nome),C
E20A,kEH_HG,13A38,U+13A38,E020B,E20A,E-01-005,"A donkey/ass, seated as a Sethian animal, ears in a V shape, tail up.",Classifier enemy,C
E21,kEH_HG,130EB,U+130EB,E021,E21,E-02-009,"The animal of Seth, lying down, tail up.",Logogram (Seth),C
E210,kEH_HG,13B42,U+13B42,HJ E210,E210,E-23-045,"The head of a human man, seen in profile, with a short straight beard, in front of a bovid (bull), standing (E1), on top of a standard used for the carrying of religious symbols (R12).",Logogram (12th nome of Lower Egypt),C
E214,kEH_HG,13A3A,U+13A3A,HJ E214,E214,E-01-008,,,
E214A,kEH_HG,13A39,U+13A39,HJ E214A,E214A,E-01-007,"A donkey/ass, lying down, legs folded beneath the body, ears in a V shape, tail down.","Classifier rage, anger",C
E214C,kEH_HG,13A3B,U+13A3B,HJ E214C,E214C,E-01-010,"A donkey/ass, legs bound together, ears in a V shape, tail up.",Logogram (Seth),C
E215,kEH_HG,13A49,U+13A49,HJ E215,E215,E-01-035,"A donkey/ass, lying on its back, legs bound together, tail upwards, with a knife with a triangular blade and straight handle (T30A) vertically on top of the hooves, blade towards the back.",Logogram (Seth),C
E215A,kEH_HG,13A48,U+13A48,HJ E215A,E215A,E-01-034,,,
E215B,kEH_HG,13A4A,U+13A4A,HJ E215B,E215B,E-01-036,,,
E215D,kEH_HG,13A4B,U+13A4B,HJ E215D,E215D,E-01-038,,,
E216,kEH_HG,13A3D,U+13A3D,HJ E216,E216,E-01-017,"A donkey/ass, lying down, with the ears in a V shape, tail up, with a knife with a triangular blade and straight handle (T30A), angled on the nose, blade downwards.",Classifier fighting,C
E216A,kEH_HG,13A3F,U+13A3F,HJ E216A,E216A,E-01-020,"A donkey/ass, lying down, with the ears in a V shape, tail up, with a knife with a triangular blade and straight handle (T30A) vertically on the back, blade towards the front, and a knife angled on the nose, blade downwards.",Classifier Seth,C
E216C,kEH_HG,13A3C,U+13A3C,HJ E216C,E216C,E-01-016,"A donkey/ass, lying down, with the ears in a V shape, tail up, with a knife with a triangular blade and straight handle (T30A) vertically on the back, blade towards the front.",Classifier Seth,C
E216D,kEH_HG,13A42,U+13A42,HJ E216D,E216D,E-01-023,"A donkey/ass, lying down, legs folded under the body, ears in a V shape, tail up, with a knife with a triangular blade and straight handle (T30A), vertically on the back, blade towards the front.",Classifier Seth,C
E216F,kEH_HG,13A3E,U+13A3E,HJ E216F,E216F,E-01-018,"A donkey/ass, lying down, with the ears in a V shape, tail up, with a knife with a triangular blade and straight handle (T30A) vertically on the back, blade towards the back.",Logogram (Seth),C
E216G,kEH_HG,13A45,U+13A45,HJ E216G,E216G,E-01-030,"A donkey/ass, legs bound together, ears in a V shape, tail up, with a knife with a triangular blade and straight handle (T30A) vertically on its back, blade forwards, and a knife angled on its nose, blade upwards.",Classifier Seth,C
E216H,kEH_HG,13A46,U+13A46,HJ E216H,E216h,E-01-031,,,
E216I,kEH_HG,13A43,U+13A43,HJ E216I,E216I,E-01-024,"A donkey/ass, lying down, legs folded under the body, ears in a V shape, tail up, with a knife with a triangular blade and straight handle (T30A), vertically on the back, blade towards the back.",Classifier Seth,C
E216J,kEH_HG,13A47,U+13A47,HJ E216J,E216J,E-01-032,"A donkey/ass, legs bound together, ears in a V shape, tail up, with a knife with a triangular blade and straight handle (T30A) vertically on its back, blade towards the back.",Logogram (Seth),C
E216L,kEH_HG,13A40,U+13A40,HJ E216L,E216L,E-01-021,"A donkey/ass, lying down, legs folded under the body, ears in a V shape, tail up, with a knife with a triangular blade and straight handle (T30A), angled on the nose, blade upwards.",Classifier Seth,C
E219,kEH_HG,13B2C,U+13B2C,HJ E219,E219,E-23-009,"A bovid (bull), standing, right front leg raised.",Phonemogram,C
E21A,kEH_HG,13A4D,U+13A4D,HJ E021A,E21A,E-02-006,,,
E21D,kEH_HG,13A54,U+13A54,HJ E021D,E21D,E-02-041,"The animal of Seth, lying down, tail up (E21), on top of a standard used for the carrying of religious symbols (R12).",Logogram (Seth),C
E21E,kEH_HG,13A4E,U+13A4E,HJ E021E,E21E,E-02-010,"The animal of Seth, lying down, tail up (E21), on top of a wickerwork basket (V30).","Logogram/Phonemogram (lord, in nb.ty, the two lords Horus and Seth)",C
E22,kEH_HG,130EC,U+130EC,E022,E22,E-17-001,"A lion, standing, tail downwards.",Classifier (lion),C
E221,kEH_HG,13A36,U+13A36,HJ E221,E221,E-01-002,"A donkey/ass, standing, carrying a load on its back, consisting of a round bag with bound bundle with ears of corn on top of the bag.",Classifier taking/carrying,C
E223,kEH_HG,13A6C,U+13A6C,HJ E223,E223,E-04-012,"A ram (Ovis longipes palaeo-aegyptiacus), standing, with a beard, with the white crown (S1) on its horns.",Phonemogram,C
E224,kEH_HG,13A6D,U+13A6D,HJ E224,E224,E-04-013,"A ram (Ovis longipes palaeo-aegyptiacus), standing, with a beard, with the red crown (S3) on its horns.",Phonemogram,C
E226,kEH_HG,13A6E,U+13A6E,HJ E226,E226,E-04-015,"A ram (Ovis longipes palaeo-aegyptiacus), standing, without a beard, with a cobra (Naja haje), standing up, with expanded hood (uraeus)(I64) on its head, with the wings of a bird on its back, spread in a V-shape.",Logogram (to the north of),C
E227,kEH_HG,13A7D,U+13A7D,HJ E227,E227,E-06-006,"Two jackals, standing, tail down, overlapping each other.",Phonemogram/logogram (those that conduct),C
E228,kEH_HG,13A85,U+13A85,HJ E228,E228,E-06-024,"Three jackals, standing, tail down, overlapping each other, bound with rope to a boat/ship with a prow and stern resembling the handle of a sickle (U1), on top of a rectangle resembling water, with an oar/rudder at the back (P28); with a god, seated, knees up, with covered legs and arms, with the head of a falcon, with a sun disk (N5) on its head, holding a tie or strap, used with sandals (ankh sign, S34), angling forward (C2) within it.",Logogram (those who conduct the bark of Re),C
E22A,kEH_HG,13AC2,U+13AC2,HJ E022A,E22A,E-17-004,"A lion, standing, tail upwards.",Classifier (lion),C
E23,kEH_HG,130ED,U+130ED,E023,E23,E-17-011,"A lion, lying down, tail curled over the body towards the back.",Phonemogram,C
E231,kEH_HG,13A98,U+13A98,HJ E231,E231,E-07-036,A cult image of a jackal.,Logogram (Anubis),C
E232,kEH_HG,13A9C,U+13A9C,HJ E232,E232,E-08-010,"A cat, seated, tail curled over the body towards the back, with N6 (The sun, encircled by a cobra (Naja haje), standing up, with expanded hood (uraeus)) on top of its head, with a tie or strap, used with sandals (ankh sign, S34), angling forward on top of its front paw.",Logogram (given life like Re),C
E233,kEH_HG,13AA9,U+13AA9,HJ E233,E233,E-09-009,,,
E235,kEH_HG,13AB0,U+13AB0,HJ E235,E235,E-14-005,"A hippopotamus (Hippopotamus amphibius) (E25), with a griffon vulture (Gyps fulvus) (G4) on its back.",Logogram (triomphator),C
E236,kEH_HG,13AB1,U+13AB1,HJ E236,E236,E-14-006,"A hippopotamus (Hippopotamus amphibius) (E25), in front of a stem of papyrus with a bud (M13), on top of a base.",Classifier hippopotamus goddess,C
E238,kEH_HG,13AC8,U+13AC8,HJ E238,E238,E-17-016,"A lion, standing, tail upwards (E22A), with a sun disk on its head.",Logogram (lion),C
E239,kEH_HG,13A72,U+13A72,HJ E239,E239,E-04-022,"A ram, standing, without horns, without beard, wearing the red crown (S3).",Phonemogram,C
E23A,kEH_HG,13AC4,U+13AC4,HJ E023A,E23A,E-17-008,"A lion, lying down, tail upwards.",Phonemogram,C
E24,kEH_HG,130EE,U+130EE,E024,E24,E-18-001,"A panther or leopard, standing.",Classifier leopard,C
E240,kEH_HG,13AD2,U+13AD2,HJ E240,E240,E-17-032,"A lioness, lying down, with a stick with a circular inset (P11A) on its back.","Logogram (Mehyt, divinity)",C
E241,kEH_HG,13AD3,U+13AD3,HJ E241,E241,E-17-036,"A lioness, lying down, tail raised, on top of a shrine which widens near the top.",Logogram (Pachet),C
E242,kEH_HG,13ADF,U+13ADF,HJ E242,E242,E-17-060,"A lion, lying down, tail curled over the body towards the back, with the sun disk (N5) on its back.",Logogram (every day),C
E243,kEH_HG,13A57,U+13A57,HJ E243,E243,E-02-044,"The animal of Seth, seated, tail up, wearing the double crown (S5).","Logogram/Phonemogram (lord, in nb.wy, the two lords Horus and Seth)",C
E244,kEH_HG,13A58,U+13A58,HJ E244,E244,E-02-045,"The animal of Seth, lying down, tail up (E21), on top of the sky, with lines of moisture coming from it (N4).","Classifier storm, storm cloud",C
E247,kEH_HG,13AF6,U+13AF6,HJ E247,E247,E-20-026,,,
E248,kEH_HG,13B13,U+13B13,HJ E248,E248,E-20-078,"A baboon, seated on a block, tail down, arms extended forward.",?,C
E24A,kEH_HG,13AE5,U+13AE5,HJ E024A,E24A,E-18-002,"A panther or leopard, in a running posture.",Classifier leopard,C
E25,kEH_HG,130EF,U+130EF,E025,E25,E-14-003,A hippopotamus (Hippopotamus amphibius).,Classifier hippopotamus,C
E254,kEH_HG,13B56,U+13B56,HJ E254,E254,E-23-097,"A newborn bubalis antelope, lying down, legs folded beneath the body, long tail downwards (E9), in front of a bovid (bull), standing (E1); on top of a standard used for the carrying of religious symbols (R12).",Logogram (12th nome of Lower Egypt),C
E255,kEH_HG,13B4C,U+13B4C,HJ E255,E255,E-23-081,"A bovid (bull?), standing, with a headdress consisting of a base with multiple plumes coming from it between the horns.",Logogram (cattle),C
E258,kEH_HG,13ABC,U+13ABC,HJ E258,E258,E-15-002,,,
E26,kEH_HG,130F0,U+130F0,E026,E26,E-11-001,An elephant.,Classifier elephant,C
E266,kEH_HG,13AE0,U+13AE0,HJ E266,E266,E-17-062,"A lion, lying down, tail curled over the body towards the back, on top of a shrine which widens towards the top, with a cloth wound on a pole, an emblem of divinity (R8) behind the lion, angling slightly backwards.",Logogram (Pachet),C
E27,kEH_HG,130F1,U+130F1,E027,E27,E-12-002,A giraffe.,Classifier to fortell,C
E270,kEH_HG,13AF4,U+13AF4,HJ E270,E270,E-20-024,"A hamadryas baboon (Papio hamadryas), seated, arms forward, holding a piece of flesh, point down, curving backwards (F51B).",Phonemogram,C
E278,kEH_HG,13AC1,U+13AC1,HJ E278,E278,E-17-002,"A lion, standing, tail downwards (E22), written within an dotted oval.",Logogram (lord of the two lands),C
E28,kEH_HG,130F2,U+130F2,E028,E28,E-03-001,"An oryx, standing.",Classifier oryx,C
E283,kEH_HG,13ABA,U+13ABA,HJ E283,E283,E-14-030,"A hippopotamus, with the limbs of a feline, head and tail of a crocodile, standing on its hind legs, front leg extended forwards, holding a knife with a triangular blade and straight handle (T30A), blade forwards.","Logogram (first person singular, referring to Nut)",C
E29,kEH_HG,130F4,U+130F4,E029,E29,E-03-028,"A gazelle, standing, with one horn visible.",Classifier gazelle,C
E290,kEH_HG,13B54,U+13B54,HJ E290,E290,E-23-095,"A piece of crocodile skin with horizontal spines, or tail of a crocodile (I6), in front of a bovid (bull), standing (E1); on top of a standard used for the carrying of religious symbols (R12).",Logogram (10th nome of Lower Egypt),C
E291,kEH_HG,13B55,U+13B55,HJ E291,E291,E-23-096,,,
E294,kEH_HG,13A80,U+13A80,HJ E294,E294,E-06-012,"A desert plant with two branches, with a downward hanging flower at the top, written over a jackal, standing, tail down (E17).",Logogram (jackal of Upper Egypt),C
E295,kEH_HG,13AE1,U+13AE1,E295,,E-17-063,"A lion, lying down, tail curled over the body towards the back, with a pole/staff with the head of a falcon with the sun disk on the head; on the front paw of the lion.",Phonemogram,C
E3,kEH_HG,130D4,U+130D4,E003,E3,E-25-001,"A calf, standing.",Classifier calf,C
E30,kEH_HG,130F5,U+130F5,E030,E30,E-10-013,A Nubian ibex (Capra nubiana).,Classifier ibex,C
E31,kEH_JSesh,13AAD,U+13AAD,E031B,E31,E-10-016,,,
E32,kEH_HG,130F7,U+130F7,E032,E32,E-20-003,A hamadryas baboon (Papio hamadryas).,"Classifier rage, fury",C
E33,kEH_HG,130F8,U+130F8,E033,E33,E-20-004,A monkey.,Classifier monkey,C
E34,kEH_HG,13ABE,U+13ABE,E034H,,E-16-001,"A desert hare, lying down.",Phonemogram,C
E34A,kEH_JSesh,13ABF,U+13ABF,E034C,E34A,E-16-009,"A desert hare, lying down (E34), on top of a standard used for the carrying of religious symbols (R12)","Logogram (Hermopolis magna, 15th nome of Upper Egypt)",C
E34B,kEH_HG,13246,U+13246,NU015,E34B,E-16-010,"A desert hare, lying down (E34), on top of a standard used for the carrying of religious symbols (R12), on top of a parcel of land with irrigation ditches (N24).","Logogram (Hermopolis magna, 15th nome of Upper Egypt)",C
E35,kEH_HG,13AE8,U+13AE8,E035A,E35,E-20-006,"A hamadryas baboon (Papio hamadryas), seated, hands on knees, tail folded under the rear.",Classifier monkey (divinity),C
E36,kEH_HG,13AEA,U+13AEA,E036B,E36,E-20-011,"A hamadryas baboon (Papio hamadryas), seated, arms forward, holding an eye, with the markings of the head of a falcon (D10).",Logogram (king (of Upper Egypt)),C
E37,kEH_HG,13AEB,U+13AEB,E037B,E37,E-20-013,"A hamadryas baboon (Papio hamadryas), seated, arms forward, holding a bowl for incense with smoke rising from the bowl (R7).",Phonemogram,C
E37A,kEH_HG,13AEC,U+13AEC,HJ E037A,E37A,E-20-014,"A hamadryas baboon (Papio hamadryas), seated, arms forward, holding a bowl for incense, with two pellets of incense, with smoke rising from the bowl (R7C).",Phonemogram,C
E38,kEH_HG,13AED,U+13AED,E038A,E38,E-20-015,"A hamadryas baboon (Papio hamadryas), seated, arms forward, holding a vertical stick which is forked at the top.",Logogram (scribe),C
E39,kEH_HG,13AEE,U+13AEE,HJ E039,E39,E-20-016,"A hamadryas baboon (Papio hamadryas), seated, arms forward, holding a stick, angled towards the face.","Logogram (to write, to inscribe)",C
E4,kEH_HG,13B52,U+13B52,E004B,,E-23-092,,,
E42,kEH_HG,13AF0,U+13AF0,HJ E042,E42,E-20-020,"A hamadryas baboon (Papio hamadryas), seated, arms forward, holding a staff (S43).","Logogram (to speak words, to recite)",C
E43,kEH_HG,13AF2,U+13AF2,HJ E043,E43,E-20-022,,,
E44,kEH_HG,13AF3,U+13AF3,HJ E044,E44,E-20-023,,,
E45,kEH_HG,130FC,U+130FC,E037,E45,E-20-033,"A hamadryas baboon (Papio hamadryas), seated, hands on knees, tail upwards, in front of a sheath or receptacle with V shaped indentation at the top, bound at the top with a loop at the backside (V36G); on top of an alabaster basin with a diamond shaped inner marking (W3).",Logogram (symbol of the cycle of time),C
E46,kEH_HG,13AF8,U+13AF8,HJ E046,E46,E-20-036,"A hamadryas baboon (Papio hamadryas), seated, hands on knees, tail folded under the rear (E35), in front of a sheath or receptacle with V shaped indentation at the top (V98), on top of a rectangular base.",Logogram (symbol of the cycle of time),C
E46A,kEH_HG,13AF9,U+13AF9,HJ E046A,E46A,E-20-037,"A hamadryas baboon (Papio hamadryas), seated, hands on knees, tail folded under the rear (E35), in front of a long, cup-shaped object with a vertical line of dots inside it, on top of a rectangular base. ",Logogram (symbol of the cycle of time),C
E47,kEH_HG,13AFA,U+13AFA,HJ E047,E47,E-20-038,"A hamadryas baboon (Papio hamadryas), seated, wearing the red crown (S3), arms forward, hand palm upwards.",Phonemogram,C
E48,kEH_HG,13AF1,U+13AF1,HJ E048,E48,E-20-021,"A hamadryas baboon (Papio hamadryas), seated, wearing the red crown (S3), arms forward, holding a staff (S43).",Logogram (recitation by),C
E49,kEH_HG,13AFC,U+13AFC,HJ E049,E49,E-20-040,,,
E5,kEH_HG,130D6,U+130D6,E005,E5,E-23-066,"A bovid (cow), standing, head facing backwards over its body, with a calf below the cow, suckling.",Classifier concern,C
E50,kEH_HG,13AFD,U+13AFD,HJ E050,E50,E-20-041,,,
E51,kEH_HG,13B00,U+13B00,HJ E051,E51,E-20-046,"A baboon, standing on it hind legs, tail down, arms raised in front, forearms nearly vertical, hand palms outwards.",Logogram (to be good),C
E51A,kEH_HG,13B02,U+13B02,HJ E051A,E51A,E-20-048,"A hamadryas baboon (Papio hamadryas), standing on its hind legs, tail down, arms raised in front, forearms nearly vertical, hand palms outwards.",Classifier baboon,C
E53,kEH_HG,13B03,U+13B03,HJ E053,E53,E-20-050,"A baboon, standing on its hind legs, tail down, arms downwards, hands at the height of the waist, hand palms downwards.",Phonemogram,C
E54,kEH_HG,13B04,U+13B04,HJ E054,E54,E-20-052,,,
E57,kEH_HG,13B05,U+13B05,HJ E057,E57,E-20-054,"A baboon, standing on its hind legs, tail down, arms extended forwards, holding a knife with a triangular blade and straight handle (T30A), blade facing outwards.",Classifier monkey,C
E58,kEH_HG,13B07,U+13B07,HJ E058,E58,E-20-057,"A baboon, standing on its hind legs, tail down, arms extended forwards, left forearm horizontal, holding the face of a human man (D2), with the right arm angling over it.",Logogram/phonemogram (beautiful of face),C
E58A,kEH_HG,13B06,U+13B06,HJ E058A,E58A,E-20-056,,,
E5B,kEH_HG,13B47,U+13B47,HJ E005B,E5B,E-23-068,"A bovid (cow), standing, head facing backwards, looking over its back, with a calf below the cow, suckling.",Phonemogram (in ꜣms-ꞽb),C
E6,kEH_HG,13AA7,U+13AA7,E006E,,E-09-006,"A horse, rearing, front legs nearly horizontal.",Logogram (span (of horses)/horse),C
E60,kEH_HG,13B08,U+13B08,HJ E060,E60,E-20-059,"A baboon, standing on its hind legs, tail down, arms extended forwards, left forearm horizontal, holding a palm branch, stripped of leaves and notched with a sharp notch (M4B), with the notch inwards, right hand between the head and the palm branch, hand palm outwards.",Logogram (good year),C
E61,kEH_HG,13B09,U+13B09,HJ E061,E61,E-20-060,,,
E63,kEH_HG,13B0B,U+13B0B,HJ E063,E63,E-20-063,"A baboon, standing on its hind legs, tail down, arms extended forwards, left forearm horizontal, holding a windpipe and heart, with a single horizontal stroke at the top (F35), with the right arm angled upwards with the hand near the tops stroke.",Phonemogram,
E63A,kEH_HG,13B0D,U+13B0D,HJ E063A,E63A,E-20-065,"A baboon, wearing the white crown (S1), standing on its hind legs, tail down, arms extended forwards, left forearm horizontal, holding a windpipe and heart, with a single horizontal stroke at the top (F35), with the right arm angled upwards with the hand near the tops stroke.",Phonemogram,C
